
2013/06/11 00:22:25 15.81 1.95 N/A 11.82 66.39B N/A 17.85% 223.31B 18.95 10.69 N/A 1,953 117 2.66 N/A 3 
2013/06/12 00:37:56 15.44 1.95 N/A 11.54 64.83B N/A 17.85% 223.31B 18.95 10.69 N/A 1,944 114 2.66 N/A 3 
2013/06/13 00:26:42 15.00 1.90 N/A 11.21 62.99B N/A 17.85% 223.31B 18.95 10.69 N/A 1,945 113 2.60 N/A 3 
2013/06/14 08:12:12 15.00 1.85 N/A 11.21 62.99B N/A 17.85% 219.91B 18.95 10.69 N/A 1,945 113 2.53 N/A 3 
2013/06/17 00:10:33 15.00 1.85 N/A 11.21 62.99B N/A 17.85% 219.91B 18.95 10.69 N/A 1,945 88 2.53 N/A 3 
2013/06/18 00:55:38 15.00 1.85 N/A 11.21 62.99B N/A 17.85% 219.91B 18.95 10.69 N/A 1,127 33 2.53 N/A 3 
2013/06/18 23:27:36 14.74 1.85 N/A 11.02 61.89B N/A 17.85% 219.91B 18.95 10.69 N/A 1,180 529 2.53 N/A 3 
2013/06/20 00:05:50 14.16 1.81 N/A 10.58 59.46B N/A 17.85% 219.91B 18.95 10.69 N/A 1,183 488 2.48 N/A 3 
2013/06/21 01:22:01 14.50 1.74 N/A 10.84 60.89B N/A 17.85% 219.91B 18.95 10.69 N/A 1,283 1,288 2.38 N/A 3 
2013/06/24 00:29:19 13.90 1.79 N/A 10.39 58.37B N/A 17.85% 215.29B 18.95 10.69 N/A 1,566 3,538 2.44 N/A 3 
2013/06/25 00:27:48 13.78 1.71 N/A 10.30 57.86B N/A 17.85% 215.29B 18.95 10.69 N/A 1,602 5,500 2.34 N/A 3 
2013/06/26 01:40:08 13.88 1.70 N/A 10.37 58.28B N/A 17.85% 215.29B 18.95 10.73 N/A 1,597 4,829 2.32 N/A 3 
2013/06/27 01:04:53 14.21 1.71 N/A 10.62 59.67B N/A 17.85% 215.29B 18.95 10.73 N/A 1,797 5,888 2.34 N/A 3 
2013/07/18 22:41:07 14.90 1.83 N/A 11.14 62.57B N/A 17.85% 214.20B 18.95 11.23 N/A 2,892 10,263 2.51 N/A 3 
2013/07/20 13:00:09 13.83 1.83 N/A 10.34 58.07B N/A 17.85% 214.20B 18.95 11.23 N/A 2,890 10,475 2.51 N/A 3 
2013/07/21 22:36:55 13.83 1.83 N/A 10.34 58.07B N/A 17.85% 214.99B 18.95 11.23 N/A 2,890 10,475 2.51 N/A 3 
2013/07/23 17:26:33 15.20 1.90 N/A 11.36 63.83B N/A 17.85% 214.99B 18.95 11.23 N/A 3,010 5,483 2.60 N/A 3 
2013/07/26 17:34:09 13.58 1.86 N/A 10.15 57.02B N/A 17.85% 214.99B 18.95 11.23 N/A 3,127 3,913 2.55 N/A 3 
2013/08/10 18:04:06 13.75 1.80 N/A 10.17 57.74B N/A 17.72% 169.40B 18.95 11.23 N/A 3,994 7,288 2.31 N/A 3 
2013/08/11 12:37:07 13.75 1.80 N/A 10.17 57.74B N/A 17.72% 166.25B 18.95 11.23 N/A 3,994 7,288 2.31 N/A 3 
2013/08/20 22:55:34 13.09 1.70 N/A 9.68 54.97B N/A 17.72% 163.48B 18.95 11.23 N/A 4,438 4,286 2.17 N/A 4 
2013/08/22 20:54:26 13.70 1.46 N/A 10.13 57.53B N/A 17.72% 163.48B 18.95 11.23 N/A 4,492 4,200 1.88 N/A 3 
2013/08/23 10:45:18 13.13 1.77 N/A 9.71 55.13B N/A 17.72% 163.48B 18.95 11.23 N/A 4,678 5,288 2.28 N/A 4 
2013/08/24 19:49:25 13.30 1.77 N/A 9.84 55.85B N/A 17.72% 163.48B 18.95 11.23 N/A 4,830 6,463 2.28 N/A 4 
2013/08/25 23:08:10 13.30 1.77 N/A 9.84 55.85B N/A 17.72% 164.36B 18.95 11.23 N/A 4,830 6,463 2.28 N/A 4 
2013/08/27 01:01:51 12.87 1.72 N/A 9.52 54.04B N/A 17.72% 164.36B 18.95 11.23 N/A 4,856 4,533 2.21 N/A 4 
2013/08/30 23:06:20 14.25 1.68 N/A 10.54 59.84B N/A 17.72% 164.36B 18.95 11.23 N/A 4,802 4,071 2.16 N/A 3 
2013/09/01 19:00:31 14.25 1.68 N/A 10.54 59.84B N/A 17.72% 168.35B 18.95 11.23 N/A 4,584 5,286 2.16 N/A 3 
2013/09/02 13:15:49 14.25 1.68 N/A 10.54 59.84B N/A 17.72% 168.35B 18.95 11.23 N/A 4,584 5,286 2.16 N/A 3 
2013/09/03 17:36:28 11.50 1.84 N/A 8.51 48.29B N/A 17.72% 168.35B 18.95 11.23 N/A 4,584 5,286 2.37 N/A 4 
2013/09/03 18:01:51 11.50 1.84 N/A 8.51 48.29B N/A 17.72% 168.35B 18.95 11.23 N/A 4,584 5,286 2.37 N/A 4 
2013/09/03 19:01:36 11.50 1.84 N/A 8.51 48.29B N/A 17.72% 168.35B 18.95 11.23 N/A 4,584 5,286 2.37 N/A 6.66 N/A 22.41% 32.77% 1.35% 6.03 6.40% N/A N/A 5.66B 1.35 4.10% 22.01 200.93B N/A 12.40B N/A 0.60 16.23% 13.80 15.68 4.20B 2.87B N/A 1.31K 0.20 N/A 548.00 4 
2013/09/04 03:25:44 11.50 1.49 N/A 8.51 48.29B N/A 17.72% 168.35B 18.95 11.23 N/A 4,691 3,700 1.91 N/A 6.66 N/A 22.41% 32.77% 1.35% 6.03 6.40% N/A N/A 5.66B 1.35 4.10% 22.01 200.93B N/A 12.40B N/A 0.60 16.84% 13.67 15.63 4.20B 2.87B N/A 1.31K 0.20 N/A 548.00 4 
