
2013/06/11 00:26:59 4.15 1.17 N/A 12.21 413.72M 5.68 12.72% 414.49M 10.73 3.72 18.60% 1,280,040 643,617 1.80 1.55 8 
2013/06/12 00:41:52 4.01 1.17 N/A 11.79 399.76M 5.49 12.72% 414.49M 10.73 3.72 18.60% 1,274,640 648,529 1.81 1.55 8 
2013/06/13 00:30:34 4.07 1.13 N/A 11.97 405.74M 5.58 12.72% 414.49M 10.73 3.72 18.60% 1,233,300 632,862 1.75 1.55 8 
2013/06/14 08:16:17 4.14 1.17 N/A 12.18 412.72M 5.67 12.72% 407.51M 10.73 3.72 18.60% 1,208,660 582,675 1.80 1.55 9 
2013/06/17 00:15:06 4.05 1.17 N/A 11.91 403.75M 5.55 12.72% 405.52M 10.73 3.72 18.60% 1,195,370 582,025 1.80 1.55 8 
2013/06/18 00:59:52 3.92 1.15 N/A 11.53 390.79M 5.37 12.72% 405.52M 10.73 3.72 18.60% 1,165,950 571,100 1.76 1.55 8 
2013/06/18 23:32:12 3.84 1.11 N/A 11.29 382.81M 5.26 12.72% 405.52M 10.73 3.72 18.60% 1,163,790 628,286 1.71 1.55 8 
2013/06/20 00:09:48 3.74 1.09 N/A 11.00 372.84M 5.12 12.72% 405.52M 10.73 3.72 18.60% 1,155,210 642,512 1.67 1.55 8 
2013/06/21 01:26:24 3.37 1.06 N/A 9.91 335.96M 4.62 12.72% 405.52M 10.73 3.35 18.60% 1,165,640 797,712 1.63 1.55 9 
2013/06/24 00:34:11 3.54 0.95 N/A 10.41 352.91M 4.85 12.72% 354.67M 10.73 3.35 18.60% 1,188,250 1,083,240 1.47 1.55 9 
2013/06/25 00:32:53 3.18 1.00 N/A 9.35 317.02M 4.36 12.72% 354.67M 10.73 3.11 18.60% 1,196,950 1,466,680 1.54 1.55 9 
2013/06/26 01:45:21 3.21 0.90 N/A 9.44 320.01M 4.40 12.72% 354.67M 10.73 3.11 18.60% 1,190,570 1,354,500 1.38 1.55 10 
2013/06/27 01:09:15 2.95 0.91 N/A 8.68 294.09M 4.04 12.72% 354.67M 10.73 2.88 18.60% 1,205,230 1,389,850 1.40 1.55 10 
2013/07/18 22:54:32 3.45 0.98 N/A 10.15 343.93M 5.31 12.72% 325.76M 10.73 2.88 18.60% 1,153,320 1,397,300 1.51 1.55 9 
2013/07/21 22:43:28 3.58 0.98 N/A 10.53 356.89M 5.51 12.72% 358.66M 10.73 2.88 18.60% 1,139,210 1,350,450 1.50 1.55 8 
2013/07/23 17:30:34 4.11 1.06 N/A 12.09 409.73M 6.32 12.72% 358.66M 10.73 2.88 18.60% 1,162,230 1,595,400 1.63 1.55 8 
2013/07/26 17:39:05 3.99 1.12 N/A 11.74 397.77M 6.14 12.72% 358.66M 10.73 2.88 18.60% 1,182,610 1,609,640 1.73 1.55 8 
2013/08/22 21:01:12 5.14 1.42 N/A 20.98 512.67M 13.53 9.85% 538.55M 10.73 2.88 18.60% 1,394,580 2,288,790 1.93 1.23 4 
2013/08/23 10:49:57 5.31 1.45 N/A 21.57 529.63M 13.90 9.85% 538.55M 10.73 2.88 18.60% 1,394,580 2,288,790 1.97 1.23 4 
2013/08/24 19:53:19 5.34 1.45 N/A 21.80 532.62M 14.05 9.85% 538.55M 10.73 2.88 18.60% 1,413,170 2,210,300 1.97 1.23 4 
2013/08/25 23:12:09 5.34 1.45 N/A 21.80 532.62M 14.05 9.85% 547.53M 10.73 2.88 18.60% 1,413,170 2,210,300 1.97 1.23 4 
2013/08/27 01:06:43 5.55 1.51 N/A 22.65 553.56M 14.61 9.85% 547.53M 10.73 2.88 18.60% 1,445,910 1,936,120 2.05 1.23 5 
2013/08/30 23:10:22 4.98 1.45 N/A 20.33 496.71M 13.11 9.85% 547.53M 10.73 2.88 18.60% 1,477,310 2,157,700 1.97 1.23 4 
2013/09/01 19:04:30 4.98 1.45 N/A 20.33 496.71M 13.11 9.85% 511.62M 10.73 2.88 18.60% 1,537,060 2,266,940 1.97 1.23 4 
2013/09/02 13:20:56 4.98 1.45 N/A 20.33 496.71M 13.11 9.85% 511.62M 10.73 2.88 18.60% 1,537,060 2,266,940 1.97 1.23 4 
2013/09/03 17:51:45 5.19 1.41 N/A 15.26 517.66M 8.51 12.72% 374.61M 10.73 2.88 18.60% 1,537,060 2,266,940 1.91 1.55 7 
2013/09/03 18:05:40 5.19 1.41 N/A 21.18 517.66M 13.66 9.85% 511.62M 10.73 2.88 18.60% 1,537,060 2,266,940 1.91 1.23 5 
2013/09/03 19:05:23 5.19 1.41 N/A 21.18 517.66M 13.66 9.85% 511.62M 10.73 2.88 18.60% 1,537,060 2,266,940 1.91 1.23 1.97 6.94 11.10% 12.06% 4.99% 2.62 76.20% 77.95M 73.74M 28.83M 0.25 N/A 0.24 39.00M 11.06 64.25M -40.87M 1.08 16.23% 4.34 4.73 99.74M 98.08M N/A 1.60M 0.90 N/A 1.24M 5 
2013/09/04 03:29:47 5.19 1.47 N/A 21.18 517.66M 13.66 9.85% 511.62M 10.73 2.88 18.60% 1,552,150 2,408,550 1.99 1.23 1.97 6.94 11.10% 12.06% 4.99% 2.62 76.20% 77.95M 73.74M 28.83M 0.25 N/A 0.24 39.00M 11.06 64.25M -40.87M 1.08 16.84% 4.39 4.70 99.74M 98.08M N/A 1.60M 0.90 N/A 1.24M 5 
