
2013/06/11 00:29:54 42.92 1.97 0.63 13.73 24.76B 25.25 15.21% 48.82B 48.44 28.82 N/A 1,188,120 855,300 3.09 N/A 2 
2013/06/12 00:43:46 40.57 1.91 0.63 12.98 23.40B 23.86 15.21% 48.82B 48.44 28.82 N/A 1,218,650 1,134,630 3.00 N/A 2 
2013/06/13 00:32:41 40.54 1.80 0.63 12.97 23.38B 23.85 15.21% 48.82B 48.44 28.82 N/A 1,208,980 1,136,060 2.83 N/A 2 
2013/06/14 08:18:32 40.59 1.80 0.63 12.98 23.41B 23.88 15.21% 46.68B 48.44 28.82 N/A 1,214,850 1,172,750 2.83 N/A 3 
2013/06/17 00:17:24 41.02 1.80 0.58 13.12 23.66B 24.42 15.21% 46.96B 48.44 28.82 N/A 1,224,830 1,264,240 2.83 N/A 3 
2013/06/18 01:02:16 41.71 1.82 0.58 13.34 24.06B 24.83 15.21% 46.96B 48.44 28.96 N/A 1,225,300 1,510,450 2.86 N/A 2 
2013/06/18 23:34:40 40.82 1.85 0.58 13.06 23.54B 24.30 15.21% 46.96B 48.44 28.96 N/A 1,219,960 1,464,960 2.91 N/A 3 
2013/06/20 00:13:43 39.97 1.82 0.58 12.79 23.05B 23.79 15.21% 46.96B 48.44 28.96 N/A 1,214,800 1,432,540 2.85 N/A 2 
2013/06/21 01:28:46 37.76 1.78 0.58 12.08 21.78B 22.48 15.21% 46.96B 48.44 28.96 N/A 1,231,000 1,608,650 2.79 N/A 2 
2013/06/24 00:36:34 38.01 1.68 0.54 12.16 21.92B 23.04 15.21% 45.22B 48.44 28.96 N/A 1,232,490 1,431,040 2.64 N/A 2 
2013/06/25 00:35:44 37.39 1.69 0.54 11.96 21.57B 22.66 15.21% 45.22B 48.44 29.26 N/A 1,239,350 1,436,680 2.65 N/A 2 
2013/06/26 01:48:08 38.01 1.66 0.54 12.16 21.92B 23.04 15.21% 45.22B 48.44 29.87 N/A 1,237,550 1,360,370 2.61 N/A 2 
2013/06/27 01:11:47 37.42 1.69 0.55 11.97 21.58B 22.68 15.21% 45.22B 48.44 29.88 N/A 1,247,890 1,425,590 2.65 N/A 2 
2013/07/18 23:02:59 36.31 1.59 0.56 11.62 20.94B 22.84 15.21% 45.45B 48.44 31.50 N/A 1,319,080 1,569,980 2.49 N/A 2 
2013/07/21 22:47:14 35.77 1.61 0.52 11.44 20.63B 22.36 15.21% 43.93B 48.44 31.50 N/A 1,311,730 1,462,980 2.53 N/A 2 
2013/07/23 17:32:45 35.51 1.61 0.52 11.36 20.48B 22.19 15.21% 43.93B 48.44 31.50 N/A 1,303,490 1,577,030 2.52 N/A 2 
2013/07/26 17:42:22 34.25 1.56 0.50 10.96 19.76B 21.41 15.21% 43.93B 48.44 31.50 N/A 1,351,190 2,050,790 2.44 N/A 2 
2013/08/22 21:04:56 27.33 1.19 0.52 8.74 15.76B 11.29 15.21% 40.40B 48.44 26.50 N/A 1,857,260 3,837,550 1.86 N/A 3 
2013/08/23 10:52:04 27.79 1.22 0.52 8.89 16.03B 11.49 15.21% 40.40B 48.44 26.50 N/A 1,857,260 3,837,550 1.91 N/A 3 
2013/08/24 19:55:25 27.68 1.22 0.45 8.85 15.97B 11.49 15.21% 40.40B 48.44 26.50 N/A 1,876,380 3,715,650 1.91 N/A 3 
2013/08/25 23:14:20 27.68 1.22 0.45 8.85 15.97B 11.49 15.21% 39.26B 48.44 26.50 N/A 1,876,380 3,715,650 1.91 N/A 3 
2013/08/27 01:09:07 27.01 1.23 0.45 8.64 15.58B 11.21 15.21% 39.26B 48.44 26.50 N/A 1,876,730 3,751,770 1.93 N/A 3 
2013/08/30 23:12:29 26.02 1.16 0.43 8.32 15.01B 10.98 15.21% 39.26B 48.44 25.01 N/A 1,889,940 3,606,560 1.83 N/A 3 
2013/09/01 19:07:39 26.02 1.16 0.43 8.32 15.01B 10.98 15.21% 38.41B 48.44 24.94 N/A 1,969,770 2,563,170 1.83 N/A 3 
2013/09/02 13:23:12 26.02 1.16 0.43 8.32 15.01B 10.98 15.21% 38.41B 48.44 24.94 N/A 1,969,770 2,563,170 1.83 N/A 3 
2013/09/03 18:07:41 25.49 1.16 0.43 8.15 14.70B 10.76 15.21% 38.41B 48.44 24.94 N/A 1,969,770 2,563,170 1.82 N/A 3 
2013/09/03 19:07:28 25.49 1.16 0.43 8.15 14.70B 10.76 15.21% 38.41B 48.44 24.94 N/A 1,969,770 2,563,170 1.82 N/A 4.65 N/A 21.92% 31.06% 1.57% 14.34 2.60% N/A N/A 1.81B 3.13 37.70% 16.15 32.61B N/A -2.89B N/A 1.78 16.23% 31.55 39.89 576.79M 560.40M N/A 7.31M 3.90 N/A 5.79M 3 
2013/09/04 03:31:51 25.49 1.13 0.43 8.15 14.70B 10.76 15.21% 38.41B 48.44 24.94 N/A 2,014,360 2,851,750 1.78 N/A 4.65 N/A 21.92% 31.06% 1.57% 14.34 2.60% N/A N/A 1.81B 3.13 37.70% 16.15 32.61B N/A -2.89B N/A 1.78 16.84% 31.20 39.70 576.79M 560.40M N/A 7.31M 3.90 N/A 5.79M 3 
