
2013/06/11 00:34:34 14.30 1.60 3.74 N/A 976.63M 19.59 -6.70% 1.75B 15.86 9.66 60.50% 149,342 128,767 6.00 N/A -2 
2013/06/12 00:47:27 14.16 1.60 3.74 N/A 967.07M 19.40 -6.70% 1.75B 15.86 9.66 60.50% 148,684 117,129 5.99 N/A -2 
2013/06/13 00:35:41 14.12 1.58 3.74 N/A 964.34M 19.34 -6.70% 1.75B 15.86 9.66 60.50% 148,453 107,400 5.93 N/A -2 
2013/06/14 08:21:47 14.05 1.61 3.72 N/A 959.56M 19.25 -6.77% 1.68B 15.86 9.66 60.50% 148,891 104,175 5.94 1.75 -2 
2013/06/17 00:20:46 14.18 1.61 3.76 N/A 968.44M 19.42 -6.77% 1.68B 15.86 9.66 60.50% 148,084 69,675 5.94 1.75 -2 
2013/06/18 01:05:48 14.39 1.62 3.76 N/A 982.78M 19.71 -6.77% 1.68B 15.86 9.66 60.50% 147,995 70,000 5.99 1.75 -2 
2013/06/18 23:38:51 14.76 1.65 3.76 N/A 1.01B 20.22 -6.77% 1.68B 15.86 9.66 60.50% 150,294 87,014 6.08 1.75 -2 
2013/06/20 00:23:28 14.37 1.69 3.91 N/A 981.41M 19.68 -6.77% 1.68B 15.86 9.66 60.50% 149,886 85,975 6.24 1.75 -2 
2013/06/21 01:32:28 14.31 1.64 3.91 N/A 977.32M 19.60 -6.77% 1.68B 15.86 9.66 60.50% 150,373 92,525 6.07 1.75 -2 
2013/06/24 00:39:35 14.15 1.64 3.79 N/A 966.39M 19.38 -6.77% 1.68B 15.86 9.66 60.60% 150,866 94,375 6.05 1.75 -2 
2013/06/25 00:39:26 14.11 1.62 3.79 N/A 963.66M 19.33 -6.77% 1.68B 15.86 9.66 60.60% 151,100 96,717 5.98 1.75 -2 
2013/06/26 01:52:08 14.45 1.61 3.79 N/A 986.88M 19.79 -6.77% 1.68B 15.86 9.66 60.60% 151,384 93,629 5.96 1.75 -2 
2013/06/27 01:15:17 14.66 1.65 3.83 N/A 1.00B 20.08 -6.77% 1.68B 15.86 9.66 60.60% 151,458 93,513 6.11 1.75 -2 
2013/07/18 23:39:34 15.00 1.72 3.99 N/A 1.02B 20.55 -6.77% 1.73B 15.86 9.66 60.60% 100,187 59,100 6.37 1.75 -2 
2013/07/21 22:53:12 15.21 1.71 3.97 N/A 1.04B 20.84 -6.77% 1.75B 15.86 9.66 60.60% 100,016 64,938 6.34 1.75 -2 
2013/07/23 17:37:08 15.08 1.75 4.05 N/A 1.03B 20.66 -6.77% 1.75B 15.86 9.66 60.60% 99,651 65,333 6.47 1.75 -2 
2013/07/26 17:45:37 14.73 1.69 3.91 N/A 1.01B 20.18 -6.77% 1.75B 15.86 9.66 60.60% 100,452 68,200 6.23 1.75 -2 
2013/08/22 21:09:04 14.25 0.82 2.25 508.93 491.51M 16.57 0.28% 1.13B 15.86 9.66 60.60% 79,947 92,463 2.44 1.88 0 
2013/08/23 10:55:11 14.38 0.83 2.25 510.45 495.99M 16.62 0.28% 1.13B 15.86 9.66 60.60% 78,809 86,400 2.47 1.88 0 
2013/08/24 20:00:58 14.56 0.83 2.28 520.00 502.20M 16.93 0.28% 1.13B 15.86 9.66 60.60% 79,409 95,663 2.47 1.88 0 
2013/08/25 23:18:57 14.56 0.83 2.28 520.00 502.20M 16.93 0.28% 1.14B 15.86 9.66 60.60% 79,409 95,663 2.47 1.88 0 
2013/08/27 01:12:19 14.17 0.85 2.28 506.07 488.75M 16.48 0.28% 1.14B 15.86 9.66 60.60% 79,427 108,917 2.53 1.88 0 
2013/08/30 23:18:41 14.15 0.85 2.32 505.36 488.06M 16.45 0.28% 1.14B 15.86 9.66 60.60% 78,851 99,357 2.52 1.88 0 
2013/09/01 19:13:01 14.15 0.85 2.32 505.36 488.06M 16.45 0.28% 1.13B 15.86 9.66 60.60% 76,175 62,014 2.52 1.88 0 
2013/09/02 13:27:09 14.15 0.85 2.32 505.36 488.06M 16.45 0.28% 1.13B 15.86 9.66 60.60% 76,175 62,014 2.52 1.88 0 
2013/09/03 18:10:49 14.32 0.83 2.26 511.43 493.93M 16.65 0.28% 1.13B 15.86 9.66 60.60% 76,175 62,014 2.46 1.88 0 
2013/09/03 19:10:44 14.32 0.83 2.26 511.43 493.93M 16.65 0.28% 1.13B 15.86 9.66 60.60% 76,175 62,014 2.46 1.88 5.68 10.86 0.86% 31.25% 2.44% 3.32 210.50% 140.70M 103.90M 1.68M 0.03 N/A 0.81 667.96M 113.14 203.54M 134.78M 1.09 16.23% 14.51 14.04 34.49M 14.57M 0.48% 657.70K 9.90 3.80% 675.80K 0 
2013/09/04 03:34:52 14.32 0.84 2.26 511.43 493.93M 16.65 0.28% 1.13B 15.86 9.66 60.60% 73,895 47,717 2.49 1.88 5.68 10.86 0.86% 31.25% 2.44% 3.32 210.50% 140.70M 103.90M 1.68M 0.03 N/A 0.81 667.96M 113.14 203.54M 134.78M 1.09 16.84% 14.50 14.09 34.49M 14.57M 0.48% 657.70K 9.90 3.80% 675.80K 0 
