
2013/06/11 00:37:23 17.35 1.37 N/A N/A 434.79M N/A N/A 427.04M 21.00 15.05 N/A 295,423 406,883 N/A 1,136.49 1 
2013/06/12 00:49:49 16.73 1.37 N/A N/A 419.25M N/A N/A 427.04M 21.00 15.05 N/A 296,841 366,357 N/A 1,136.49 0 
2013/06/13 00:38:05 16.80 1.32 N/A N/A 421.01M N/A N/A 427.04M 21.00 15.05 N/A 298,277 334,625 N/A 1,136.49 0 
2013/06/14 08:24:09 16.99 1.34 N/A N/A 425.77M N/A N/A 412.00M 21.00 15.05 N/A 298,956 303,625 N/A 1,136.49 1 
2013/06/17 00:22:59 16.93 1.34 N/A N/A 424.27M N/A N/A 415.26M 21.00 15.05 N/A 299,572 242,412 N/A 1,136.49 1 
2013/06/18 01:08:18 16.90 1.34 N/A N/A 423.51M N/A N/A 415.26M 21.00 15.05 N/A 300,733 100,417 N/A 1,136.49 1 
2013/06/18 23:41:18 16.99 1.33 N/A N/A 425.77M N/A N/A 415.26M 21.00 15.05 N/A 301,734 104,743 N/A 1,136.49 1 
2013/06/20 00:30:56 16.89 1.34 N/A N/A 423.26M N/A N/A 415.26M 21.00 15.05 N/A 303,273 106,438 N/A 1,136.49 1 
2013/06/21 01:34:54 16.28 1.33 N/A N/A 407.98M N/A N/A 415.26M 21.00 15.05 N/A 311,742 164,100 N/A 1,136.49 0 
2013/06/24 00:42:01 16.04 1.29 N/A N/A 401.96M N/A N/A 392.95M 21.00 15.05 14.90% 316,314 191,800 N/A 1,136.49 3 
2013/06/25 00:42:09 16.03 1.27 N/A N/A 401.71M N/A N/A 392.95M 21.00 15.05 14.90% 318,758 249,583 N/A 1,136.49 3 
2013/06/26 01:54:47 16.11 1.27 N/A N/A 403.72M N/A N/A 392.95M 21.00 15.05 14.90% 320,641 234,014 N/A 1,136.49 3 
2013/06/27 01:17:39 16.68 1.27 N/A N/A 418.00M N/A N/A 392.95M 21.00 15.05 14.90% 323,867 232,725 N/A 1,136.49 3 
2013/07/18 23:41:51 18.16 1.41 N/A N/A 455.09M N/A N/A 428.54M 21.00 15.05 14.90% 416,324 179,162 N/A 1,136.49 3 
2013/07/21 22:57:10 19.00 1.43 N/A N/A 476.14M N/A N/A 467.13M 21.00 15.05 14.90% 422,902 186,457 N/A 1,136.49 3 
2013/07/23 17:39:29 19.66 1.51 N/A N/A 492.68M N/A N/A 467.13M 21.00 15.05 14.90% 420,275 185,067 N/A 1,136.49 3 
2013/07/26 17:47:40 19.22 1.49 N/A N/A 481.65M N/A N/A 467.13M 21.00 15.05 14.90% 426,478 260,038 N/A 1,136.49 3 
2013/08/22 21:11:13 18.97 1.13 N/A N/A 475.56M N/A N/A 258.25M 21.00 15.05 14.90% 256,936 121,250 N/A 1,136.49 3 
2013/08/23 10:57:11 19.24 1.15 N/A N/A 482.23M N/A N/A 258.25M 21.00 15.05 14.90% 255,073 111,438 N/A 1,136.49 3 
2013/08/24 20:03:11 19.20 1.15 N/A N/A 481.32M N/A N/A 258.25M 21.00 15.05 14.90% 253,800 113,162 N/A 1,136.49 3 
2013/08/25 23:21:07 19.20 1.15 N/A N/A 481.32M N/A N/A 258.50M 21.00 15.05 14.90% 253,800 113,162 N/A 1,136.49 3 
2013/08/27 01:14:24 19.28 1.16 N/A N/A 483.33M N/A N/A 258.50M 21.00 15.05 14.90% 253,934 100,900 N/A 1,136.49 3 
2013/08/30 23:20:55 18.95 1.16 N/A N/A 475.06M N/A N/A 258.50M 21.00 15.05 14.90% 252,305 107,629 N/A 1,136.49 3 
2013/09/01 19:15:20 18.95 1.16 N/A N/A 475.06M N/A N/A 256.49M 21.00 15.05 14.90% 243,425 95,729 N/A 1,136.49 3 
2013/09/02 13:29:30 18.95 1.16 N/A N/A 475.06M N/A N/A 256.49M 21.00 15.05 14.90% 243,425 95,729 N/A 1,136.49 3 
2013/09/03 18:13:10 19.36 1.15 N/A N/A 485.34M N/A N/A 256.49M 21.00 15.05 14.90% 243,425 95,729 N/A 1,136.49 3 
2013/09/03 19:12:48 19.36 1.15 N/A N/A 485.34M N/A N/A 256.49M 21.00 15.05 14.90% 243,425 95,729 N/A 1,136.49 NaN N/A N/A N/A N/A N/A N/A N/A N/A -152.57K -0.02 N/A 8.91 472.00K 0.11 0.00 N/A 3.39 16.23% 19.10 18.63 25.07M N/A 28.72% 569.00K 3.20 9.80% 962.08K 3 
2013/09/04 03:38:59 19.36 1.17 N/A N/A 485.34M 13.26 N/A 256.49M 21.00 15.05 14.90% 242,188 118,017 N/A 1,136.49 NaN N/A N/A N/A N/A N/A N/A N/A N/A -152.57K -0.02 N/A 8.91 472.00K 0.11 0.00 N/A 3.39 16.84% 19.15 18.66 25.07M N/A 28.72% 569.00K 3.20 9.80% 962.08K 3 
