
2013/06/11 00:39:02 20.18 1.36 N/A N/A 1.69B 13.64 -7.42% 3.53B 23.06 14.76 64.10% 1,111,090 950,717 5.82 1.66 -2 
2013/06/12 00:51:12 19.97 1.38 N/A N/A 1.67B 13.49 -7.42% 3.53B 23.06 14.76 64.10% 1,115,060 903,900 5.91 1.66 -2 
2013/06/13 00:39:30 19.52 1.37 N/A N/A 1.63B 13.19 -7.42% 3.53B 23.06 14.76 64.10% 1,120,410 867,162 5.85 1.66 -2 
2013/06/14 08:25:21 19.55 1.34 N/A N/A 1.64B 13.21 -7.42% 3.50B 23.06 14.76 64.10% 1,133,510 711,200 5.72 1.66 -2 
2013/06/17 00:24:13 19.83 1.34 N/A N/A 1.66B 13.40 -7.42% 3.53B 23.06 14.76 64.10% 1,134,290 629,675 5.72 1.66 -2 
2013/06/18 01:09:34 19.41 1.36 N/A N/A 1.62B 13.11 -7.42% 3.53B 23.06 14.76 64.10% 1,148,990 837,817 5.81 1.66 -2 
2013/06/18 23:42:41 19.66 1.33 N/A N/A 1.65B 13.28 -7.42% 3.53B 23.06 14.76 64.10% 1,190,680 1,127,170 5.68 1.66 -2 
2013/06/20 00:35:06 19.22 1.35 N/A N/A 1.61B 12.99 -7.42% 3.53B 23.06 14.76 64.10% 1,203,010 1,118,740 5.76 1.66 -2 
2013/06/21 01:36:03 18.45 1.32 N/A N/A 1.54B 12.47 -7.42% 3.53B 23.06 14.76 64.10% 1,222,260 1,213,290 5.63 1.66 -2 
2013/06/24 00:43:42 17.77 1.27 N/A N/A 1.49B 12.01 -7.42% 3.35B 23.06 14.76 79.20% 1,281,780 1,639,800 5.40 1.66 -2 
2013/06/25 00:43:36 17.82 1.22 N/A N/A 1.49B 12.04 -7.42% 3.35B 23.06 14.76 79.20% 1,286,100 2,075,980 5.20 1.66 -2 
2013/06/26 01:56:13 17.99 1.22 N/A N/A 1.51B 12.16 -7.42% 3.35B 23.06 14.76 79.20% 1,277,830 2,027,590 5.22 1.66 -2 
2013/06/27 01:19:00 17.56 1.21 N/A N/A 1.47B 11.86 -7.42% 3.35B 23.06 14.76 79.20% 1,272,740 1,942,340 5.18 1.66 -2 
2013/07/18 23:43:06 9.32 1.27 N/A N/A 780.03M 6.34 -7.42% 3.41B 23.06 14.76 79.20% 1,475,170 2,507,000 5.42 1.66 -2 
2013/07/21 22:59:21 9.60 0.64 N/A N/A 803.46M 6.53 -7.42% 2.67B 23.06 8.79 79.20% 2,028,050 6,794,520 2.73 1.66 0 
2013/07/23 17:40:45 9.72 0.66 N/A N/A 813.51M 6.61 -7.42% 2.67B 23.06 8.79 79.20% 2,146,550 10,034,400 2.83 1.66 0 
2013/07/26 17:48:47 9.63 0.66 N/A N/A 805.97M 12.35 -7.42% 2.67B 23.06 8.79 79.20% 2,427,540 9,810,030 2.81 1.66 0 
2013/08/22 21:12:25 8.59 2.68 N/A N/A 3.18B 11.61 -8.07% 5.15B 12.11 7.75 79.20% 4,787,770 5,008,140 10.93 1.41 -1 
2013/08/23 10:58:21 8.70 2.68 N/A N/A 3.22B 11.80 -8.07% 5.15B 12.11 7.75 79.20% 4,798,830 4,708,010 10.96 1.41 -1 
2013/08/24 20:04:23 8.90 2.68 N/A N/A 3.30B 12.03 -8.07% 5.15B 12.11 7.75 79.20% 4,807,890 4,526,340 10.96 1.41 -1 
2013/08/25 23:22:20 8.90 2.68 N/A N/A 3.30B 12.03 -8.07% 5.19B 12.11 7.75 79.20% 4,807,890 4,526,340 10.96 1.41 -1 
2013/08/27 01:15:33 8.80 2.78 N/A N/A 3.26B 11.89 -8.07% 5.19B 12.11 7.75 79.20% 4,826,840 3,823,930 11.35 1.41 -1 
2013/08/30 23:22:08 8.71 2.71 N/A N/A 3.23B 11.77 -8.07% 5.19B 12.11 7.75 79.20% 4,799,200 3,710,490 11.07 1.41 -1 
2013/09/01 19:16:30 8.71 0.61 N/A N/A 729.52M 11.77 -8.07% 2.62B 12.11 7.75 79.20% 4,528,540 2,794,700 2.50 1.23 0 
2013/09/02 13:30:48 8.71 0.61 N/A N/A 729.52M 11.03 -7.42% 3.33B 12.11 7.75 79.20% 4,528,540 2,794,700 2.50 1.66 0 
2013/09/03 18:14:40 8.75 0.62 N/A N/A 732.87M 11.82 -8.07% 2.62B 12.11 7.75 79.20% 4,528,540 2,794,700 2.51 1.23 0 
2013/09/03 19:14:00 8.75 0.62 N/A N/A 732.87M 11.82 -8.07% 2.62B 12.11 7.75 79.20% 4,528,540 2,794,700 2.51 1.23 9.04 10.64 -25.85% 45.30% 2.55% 4.14 3.40% 270.87M 246.68M -68.35M -1.07 N/A 0.45 1.93B 163.04 119.10M 116.99M -0.05 16.23% 9.12 10.14 83.76M 70.61M 15.42% 2.84M 0.40 1.90% 3.56M 0 
2013/09/04 03:40:09 8.75 0.62 N/A N/A 732.87M 11.82 -8.07% 2.62B 12.11 7.75 79.20% 4,514,790 2,794,730 2.52 1.23 9.04 10.64 -25.85% 45.30% 2.55% 4.14 3.40% 270.87M 246.68M -68.35M -1.07 N/A 0.45 1.93B 163.04 119.10M 116.99M -0.05 16.84% 9.09 10.12 83.76M 70.61M 15.42% 2.84M 0.40 1.90% 3.56M 0 
