
2013/06/11 00:39:51 6.85 0.51 N/A N/A 57.63M N/A -9.08% 765.28M 10.21 2.56 0.70% 4,914 667 0.50 0.29 2 
2013/06/12 00:51:46 6.85 0.51 N/A N/A 57.63M N/A -9.08% 765.28M 10.21 2.56 0.70% 4,908 571 0.50 0.29 2 
2013/06/13 00:40:00 6.60 0.51 N/A N/A 55.53M N/A -9.08% 765.28M 10.21 2.56 0.70% 4,834 513 0.50 0.29 2 
2013/06/14 08:25:52 6.60 0.49 N/A N/A 55.53M N/A -9.08% 762.76M 10.21 2.56 0.70% 4,892 425 0.48 0.29 3 
2013/06/17 00:24:47 6.89 0.49 N/A N/A 58.00M N/A -9.08% 765.20M 10.21 2.56 0.70% 4,852 633 0.48 0.29 3 
2013/06/18 01:10:10 6.59 0.51 N/A N/A 55.44M N/A -9.08% 765.20M 10.21 2.56 0.70% 4,964 950 0.50 0.29 2 
2013/06/18 23:43:16 7.50 0.49 N/A N/A 63.10M N/A -9.08% 765.20M 10.21 2.56 0.70% 5,009 1,614 0.48 0.29 3 
2013/06/20 00:37:01 8.20 0.56 N/A N/A 68.99M N/A -9.08% 765.20M 10.21 2.56 0.70% 5,136 2,425 0.54 0.29 2 
2013/06/21 01:36:36 8.26 0.61 N/A N/A 69.49M N/A -9.08% 765.20M 10.21 2.56 0.70% 5,098 2,456 0.59 0.29 2 
2013/06/24 00:44:28 8.15 0.62 N/A N/A 68.57M N/A -9.08% 775.80M 10.21 2.66 0.50% 5,206 2,938 0.60 0.29 2 
2013/06/25 00:44:12 8.29 0.61 N/A N/A 69.78M N/A -9.08% 775.80M 10.21 2.73 0.50% 5,161 3,700 0.59 0.29 2 
2013/06/26 01:56:54 8.50 0.62 N/A N/A 71.51M N/A -9.08% 775.80M 10.21 2.75 0.50% 5,200 3,557 0.60 0.29 2 
2013/06/27 01:19:36 8.90 0.63 N/A N/A 74.88M N/A -9.08% 775.80M 10.21 2.75 0.50% 5,203 3,788 0.62 0.29 2 
2013/07/18 23:43:37 7.64 0.54 N/A N/A 64.28M N/A -9.08% 773.03M 10.21 2.90 0.50% 5,746 5,788 0.53 0.29 2 
2013/07/21 23:00:17 7.65 0.57 N/A N/A 64.36M N/A -9.08% 771.60M 10.21 2.90 0.50% 5,686 5,488 0.55 0.29 2 
2013/07/23 17:41:21 7.57 0.56 N/A N/A 63.69M N/A -9.08% 771.60M 10.21 2.90 0.50% 5,684 3,017 0.55 0.29 2 
2013/07/26 17:49:18 7.51 0.57 N/A N/A 63.18M N/A -9.08% 771.60M 10.21 2.90 0.50% 5,648 1,975 0.56 0.29 2 
2013/08/22 21:12:58 7.80 0.52 N/A 46.71 65.62M N/A -8.98% 770.87M 10.21 3.46 0.50% 2,386 1,800 0.55 0.48 1 
2013/08/23 10:58:52 7.80 0.53 N/A 46.71 65.62M N/A -8.98% 770.87M 10.21 3.46 0.50% 2,386 1,800 0.57 0.48 1 
2013/08/24 20:04:53 7.99 0.53 N/A 47.84 67.22M N/A -8.98% 770.87M 10.21 3.46 0.50% 2,322 1,613 0.57 0.48 1 
2013/08/25 23:22:54 7.99 0.53 N/A 47.84 67.22M N/A -8.98% 799.72M 10.21 3.46 0.50% 2,322 1,613 0.57 0.55 1 
2013/08/27 01:16:06 8.02 0.54 N/A 48.02 67.47M N/A -8.98% 799.72M 10.21 3.46 0.50% 2,305 1,783 0.58 0.55 1 
2013/08/30 23:22:38 8.75 0.58 N/A 52.40 73.61M N/A -8.98% 799.72M 10.21 3.46 0.50% 2,414 2,700 0.63 0.55 1 
2013/09/01 19:17:00 8.75 0.58 N/A 52.40 73.61M N/A -8.98% 806.12M 10.21 3.46 0.50% 2,258 2,257 0.63 0.70 1 
2013/09/02 13:31:22 8.75 0.58 N/A 52.40 73.61M N/A -8.98% 806.12M 10.21 3.46 0.50% 2,258 2,257 0.63 0.70 1 
2013/09/03 18:15:18 8.75 0.59 N/A 52.40 73.61M N/A -8.98% 806.12M 10.21 3.46 0.50% 2,258 2,257 0.63 0.70 1 
2013/09/03 19:14:31 8.75 0.59 N/A 52.40 73.61M N/A -8.98% 806.12M 10.21 3.46 0.50% 2,258 2,257 0.63 0.70 6.94 17.83 2.17% 20.09% 1.41% 13.80 -0.30% 58.81M 45.21M -13.96M 0.17 427.00% 1.07 741.49M 523.05 -25.90M -6.94M -1.00 16.23% 7.64 6.80 8.41M 1.35M 84.77% 1.87K 1.10 0.10% 898.00 1 
2013/09/04 03:40:39 8.75 0.59 N/A 52.40 73.61M N/A -8.98% 806.12M 10.21 3.46 0.50% 2,247 2,250 0.63 0.70 6.94 17.83 2.17% 20.09% 1.41% 13.80 -0.30% 58.81M 45.21M -13.96M 0.17 427.00% 1.07 741.49M 523.05 -25.90M -6.94M -1.00 16.84% 7.67 6.85 8.41M 1.35M 84.77% 1.87K 1.10 0.10% 898.00 1 
