
2013/06/11 00:40:26 50.08 1.18 2.28 10.23 113.06B 7.56 11.84% 137.79B 55.35 41.75 N/A 1,531,830 994,967 0.48 1.38 4 
2013/06/12 00:52:15 49.85 1.18 2.28 10.18 112.54B 7.53 11.84% 137.79B 55.35 41.75 N/A 1,534,130 1,030,100 0.49 1.38 4 
2013/06/13 00:40:25 49.55 1.18 2.28 10.12 111.86B 7.48 11.84% 137.79B 55.35 41.75 N/A 1,525,470 1,022,750 0.48 1.38 4 
2013/06/14 08:26:19 49.95 1.18 2.27 10.20 112.76B 7.49 11.84% 137.20B 55.35 41.75 N/A 1,525,640 1,011,720 0.49 1.38 4 
2013/06/17 00:25:14 50.10 1.18 2.28 10.23 113.10B 7.55 11.84% 138.45B 55.35 41.75 N/A 1,524,020 1,057,140 0.49 1.38 4 
2013/06/18 01:10:39 50.97 1.18 2.28 10.41 115.07B 7.68 11.84% 138.45B 55.35 41.75 N/A 1,537,820 1,189,480 0.49 1.38 4 
2013/06/18 23:43:44 51.40 1.20 2.28 10.50 116.04B 7.74 11.84% 138.45B 55.35 41.75 N/A 1,532,530 1,194,170 0.50 1.38 4 
2013/06/20 00:38:29 49.77 1.20 2.28 10.17 112.36B 7.50 11.84% 138.45B 55.35 41.75 N/A 1,527,740 1,221,750 0.49 1.38 4 
2013/06/21 01:37:01 48.35 1.18 2.28 9.88 109.15B 7.28 11.84% 138.45B 55.35 41.75 N/A 1,550,730 1,391,950 0.48 1.38 5 
2013/06/24 00:45:08 47.85 1.14 2.20 9.77 108.02B 7.21 11.84% 133.37B 55.35 41.75 N/A 1,540,560 1,504,390 0.47 1.38 5 
2013/06/25 00:44:40 47.13 1.13 2.20 9.63 106.40B 7.10 11.84% 133.37B 55.35 41.75 N/A 1,545,860 1,796,380 0.46 1.38 5 
2013/06/26 01:57:24 47.41 1.11 2.15 9.68 107.03B 7.14 11.84% 133.37B 55.35 41.85 N/A 1,529,460 1,697,070 0.46 1.38 5 
2013/06/27 01:20:07 47.70 1.12 2.16 9.74 107.68B 7.18 11.84% 133.37B 55.35 41.85 N/A 1,497,000 1,598,050 0.46 1.38 5 
2013/07/18 23:44:04 51.98 1.21 2.36 10.62 117.35B 7.91 11.84% 139.28B 55.35 41.85 N/A 1,327,000 1,267,220 0.50 1.38 4 
2013/07/21 23:00:58 51.99 1.23 2.39 10.62 117.37B 7.90 11.84% 142.71B 55.35 41.85 N/A 1,308,990 1,253,240 0.51 1.38 4 
2013/07/23 17:41:50 52.80 1.25 2.43 10.78 119.20B 8.02 11.84% 142.71B 55.35 41.85 N/A 1,325,500 1,609,600 0.51 1.38 4 
2013/07/26 17:49:44 53.34 1.26 2.45 10.89 120.42B 8.11 11.84% 142.71B 55.35 45.27 N/A 1,289,350 1,496,250 0.52 1.38 4 
2013/08/22 21:13:26 54.90 1.31 2.46 10.05 124.53B 8.27 13.26% 151.94B 55.40 45.93 N/A 1,301,870 1,486,540 0.54 1.37 5 
2013/08/23 10:59:18 56.24 1.33 2.50 10.29 127.56B 8.48 13.26% 151.94B 55.40 45.93 N/A 1,301,950 1,533,050 0.54 1.37 4 
2013/08/24 20:05:20 56.15 1.33 2.50 10.28 127.37B 8.47 13.26% 151.94B 56.32 45.93 N/A 1,306,460 1,593,260 0.54 1.37 4 
2013/08/25 23:23:21 56.15 1.33 2.50 10.28 127.37B 8.47 13.26% 153.98B 56.32 45.93 N/A 1,306,460 1,593,260 0.54 1.37 4 
2013/08/27 01:16:32 55.91 1.36 2.50 10.23 126.82B 8.43 13.26% 153.98B 56.32 45.93 N/A 1,318,850 1,470,070 0.55 1.37 4 
2013/08/30 23:23:04 55.31 1.35 2.55 10.12 125.46B 8.34 13.26% 153.98B 56.39 45.93 N/A 1,406,300 2,082,920 0.55 1.37 4 
2013/09/01 19:17:26 55.31 1.35 2.55 10.12 125.46B 8.34 13.26% 152.08B 57.07 45.93 N/A 1,411,960 2,344,460 0.55 1.37 4 
2013/09/02 13:31:48 55.31 1.35 2.55 10.12 125.46B 8.34 13.26% 152.08B 57.07 45.93 N/A 1,411,960 2,344,460 0.55 1.37 4 
2013/09/03 18:15:46 55.12 1.34 2.55 10.09 125.03B 8.31 13.26% 152.08B 57.07 45.93 N/A 1,411,960 2,344,460 0.55 1.37 4 
2013/09/03 19:14:57 55.12 1.34 2.55 10.09 125.03B 8.31 13.26% 152.08B 57.07 45.93 N/A 1,411,960 2,344,460 0.55 1.37 0.66 3.63 5.40% 12.43% 8.10% 101.62 -4.60% 240.34B 41.92B 12.41B 5.46 67.10% 6.89 42.24B 43.99 23.89B -2.48B 1.42 16.23% 53.75 50.64 2.27B 1.89B N/A 2.71M 2.10 N/A 2.24M 4 
2013/09/04 03:41:08 55.12 1.33 2.38 10.09 125.03B 7.93 13.26% 152.08B 57.07 45.93 N/A 1,428,200 2,499,650 0.54 1.37 0.66 3.63 5.40% 12.43% 8.10% 101.62 -4.60% 240.34B 41.92B 12.41B 5.46 67.10% 6.89 42.24B 43.99 23.89B -2.48B 1.42 16.84% 53.88 50.66 2.27B 1.89B N/A 2.71M 2.10 N/A 2.24M 4 
