
2013/06/11 00:40:35 6.49 1.09 N/A N/A 6.53B 162.25 -10.43% 7.89B 10.80 5.03 36.30% 2,038,160 984,950 47.74 0.44 0 
2013/06/12 00:52:25 6.20 1.08 N/A N/A 6.24B 155.00 -10.43% 7.89B 10.80 5.03 36.30% 2,082,850 1,347,890 47.45 0.44 0 
2013/06/13 00:40:33 6.20 1.04 N/A N/A 6.24B 155.00 -10.43% 7.89B 10.80 5.03 36.30% 2,108,030 1,491,190 45.33 0.44 0 
2013/06/14 08:26:26 6.35 1.06 N/A N/A 6.39B 158.75 -10.43% 7.56B 10.80 5.03 36.30% 2,121,330 1,645,000 46.42 0.44 0 
2013/06/17 00:25:21 6.28 1.06 N/A N/A 6.32B 157.00 -10.43% 7.64B 10.80 5.03 36.30% 2,137,880 1,878,890 46.42 0.44 0 
2013/06/18 01:10:50 6.34 1.05 N/A N/A 6.38B 158.50 -10.43% 7.64B 10.80 5.03 36.30% 2,131,010 2,212,180 45.91 0.44 0 
2013/06/18 23:43:53 6.22 1.06 N/A N/A 6.26B 155.50 -10.43% 7.64B 10.80 5.03 36.30% 2,112,280 2,138,610 46.35 0.44 0 
2013/06/20 00:38:55 6.02 1.04 N/A N/A 6.05B 150.50 -10.43% 7.64B 10.37 5.03 36.30% 2,119,520 2,131,260 45.47 0.44 0 
2013/06/21 01:37:10 5.69 1.01 N/A N/A 5.72B 142.25 -10.43% 7.64B 10.33 5.03 36.30% 2,158,740 2,485,900 44.01 0.44 0 
2013/06/24 00:45:23 5.72 0.95 N/A N/A 5.75B 143.00 -10.43% 7.07B 10.33 5.03 35.50% 2,175,640 2,382,810 41.60 0.44 1 
2013/06/25 00:44:49 5.42 0.96 N/A N/A 5.45B 135.50 -10.43% 7.07B 10.33 5.03 35.50% 2,195,850 2,386,420 41.82 0.44 1 
2013/06/26 01:57:32 5.50 0.90 N/A N/A 5.53B 137.50 -10.43% 7.07B 10.33 5.03 35.50% 2,203,540 2,292,190 39.62 0.44 1 
2013/06/27 01:20:17 5.56 0.92 N/A N/A 5.59B 46.33 -10.43% 7.07B 10.33 5.03 35.50% 2,245,770 2,504,160 40.21 0.44 1 
2013/07/18 23:44:11 5.70 0.96 N/A N/A 5.73B 81.43 -10.43% 7.12B 10.14 5.03 35.50% 2,153,280 1,849,350 41.96 0.44 1 
2013/07/21 23:01:11 5.23 0.95 N/A N/A 5.26B 74.71 -10.43% 6.58B 10.14 5.03 35.50% 2,143,350 1,742,840 41.67 0.44 1 
2013/07/23 17:41:57 5.23 0.86 N/A N/A 5.26B 74.71 -10.43% 6.58B 10.14 5.03 35.50% 2,234,440 2,748,880 37.65 0.44 1 
2013/07/26 17:49:51 5.32 0.87 N/A N/A 5.35B 76.00 -10.43% 6.58B 10.14 4.99 35.50% 2,099,970 2,802,000 38.09 0.44 1 
2013/08/22 21:13:38 5.24 0.85 N/A N/A 5.27B 21.83 -8.96% 6.82B 10.14 3.81 35.50% 3,401,720 3,177,360 32.25 0.32 1 
2013/08/23 10:59:26 5.36 0.89 N/A N/A 5.39B 22.25 -8.96% 6.82B 10.14 3.81 35.50% 3,401,720 3,177,360 33.73 0.32 1 
2013/08/24 20:05:27 5.24 0.89 N/A N/A 5.27B 21.83 -8.96% 6.82B 10.14 3.81 35.50% 3,397,510 2,941,020 33.73 0.32 1 
2013/08/25 23:23:28 5.24 0.89 N/A N/A 5.27B 21.83 -8.96% 7.07B 10.14 3.81 35.50% 3,397,510 2,941,020 33.73 0.32 1 
2013/08/27 01:16:40 5.33 0.89 N/A N/A 5.36B 59.22 -10.43% 6.15B 10.14 3.81 35.50% 3,400,870 2,160,050 33.73 0.44 1 
2013/08/30 23:23:11 5.22 0.87 N/A N/A 5.25B 21.75 -8.96% 7.07B 10.14 3.81 35.50% 3,373,140 2,079,800 32.95 0.32 1 
2013/09/01 19:17:34 5.22 0.87 N/A N/A 5.25B 21.75 -8.96% 6.94B 10.14 3.81 35.50% 3,419,240 1,772,290 32.95 0.32 1 
2013/09/02 13:31:56 5.22 0.87 N/A N/A 5.25B 58.00 -10.43% 6.15B 10.14 3.81 35.50% 3,419,240 1,772,290 32.95 0.44 1 
2013/09/03 18:15:53 5.19 0.89 N/A N/A 5.22B 21.63 -8.96% 6.94B 10.14 3.81 35.50% 3,419,240 1,772,290 33.60 0.32 1 
2013/09/03 19:15:04 5.19 0.89 N/A N/A 5.22B 21.63 -8.96% 6.94B 10.14 3.81 35.50% 3,419,240 1,772,290 33.60 0.32 44.43 -18.78 -143.38% -287.05% -3.64% 0.16 66.40% -74.31M -369.89M -224.10M -0.24 N/A 0.10 1.90B 32.71 -561.02M -2.50B 2.27 16.23% 5.02 6.14 1.01B 410.15M 50.82% 25.08M 4.30 N/A 25.31M 1 
2013/09/04 03:41:15 5.19 0.88 N/A N/A 5.22B 22.57 -8.96% 6.94B 10.14 3.81 35.50% 3,456,900 1,673,840 33.40 0.32 44.43 -18.78 -143.38% -287.05% -3.64% 0.16 66.40% -74.31M -369.89M -224.10M -0.24 N/A 0.10 1.90B 32.71 -561.02M -2.50B 2.27 16.84% 5.00 6.11 1.01B 410.15M 50.82% 25.08M 4.30 N/A 25.31M 1 
