
2013/06/11 00:40:55 21.39 2.36 4.31 80.11 656.07M 16.71 N/A 708.75M 23.35 17.87 78.40% 64,195 64,767 6.94 N/A 0 
2013/06/12 00:52:46 21.06 2.39 4.37 78.88 645.95M 16.45 N/A 708.75M 23.35 17.87 78.40% 63,058 60,200 7.03 N/A 0 
2013/06/13 00:40:49 20.56 2.35 4.37 77.00 630.62M 16.06 N/A 708.75M 23.35 17.87 78.40% 63,377 59,788 6.93 N/A 0 
2013/06/14 08:26:42 21.02 2.47 4.25 78.43 644.79M 16.29 6.64% 810.93M 23.35 17.87 78.40% 64,039 50,613 6.87 24.07 1 
2013/06/17 00:25:37 21.08 2.47 4.25 78.66 646.63M 16.34 6.64% 826.88M 23.35 17.87 78.40% 63,511 48,289 6.87 24.07 1 
2013/06/18 01:11:08 21.04 2.48 4.25 78.51 645.40M 16.31 6.64% 826.88M 23.35 17.87 78.40% 62,850 46,517 6.89 24.07 1 
2013/06/18 23:44:13 21.37 2.47 4.25 79.74 655.52M 16.57 6.64% 826.88M 23.35 17.87 78.40% 62,844 47,443 6.87 24.07 1 
2013/06/20 00:39:49 20.67 2.51 4.32 77.13 634.05M 16.02 6.64% 826.88M 23.35 17.87 78.40% 62,697 47,763 6.98 24.07 1 
2013/06/21 01:37:26 19.95 2.43 4.18 74.44 611.97M 15.47 6.64% 826.88M 23.35 17.87 78.40% 62,657 49,133 6.75 24.07 1 
2013/06/24 00:45:49 19.93 2.34 4.07 74.37 611.35M 15.45 6.64% 791.60M 23.35 17.87 79.90% 64,922 69,175 6.52 24.07 1 
2013/06/25 00:45:07 19.97 2.34 4.07 74.51 612.58M 15.48 6.64% 791.60M 23.35 17.87 79.90% 65,419 81,983 6.51 24.07 1 
2013/06/26 01:57:50 19.94 2.35 4.03 74.40 611.66M 15.46 6.64% 791.60M 23.35 17.87 79.90% 65,672 82,686 6.52 24.07 1 
2013/06/27 01:20:36 19.75 2.34 4.03 73.69 605.83M 15.31 6.64% 791.60M 23.35 17.87 79.90% 65,713 81,963 6.51 24.07 1 
2013/07/18 23:44:26 21.70 2.52 4.30 80.97 665.65M 16.82 6.64% 830.56M 23.35 17.87 79.90% 65,694 61,325 7.01 24.07 1 
2013/07/21 23:01:35 21.88 2.55 4.38 81.64 671.17M 16.96 6.64% 851.42M 23.35 17.87 79.90% 64,762 51,888 7.09 24.07 1 
2013/07/23 17:42:12 21.98 2.58 4.44 82.01 674.24M 17.04 6.64% 851.42M 23.35 17.87 79.90% 64,340 50,267 7.17 24.07 1 
2013/07/26 17:50:06 21.82 2.58 4.44 81.42 669.33M 16.91 6.64% 851.42M 23.35 17.87 79.90% 64,442 45,629 7.18 24.07 1 
2013/08/22 21:13:54 19.93 2.32 3.94 74.37 611.35M 15.45 6.64% 784.85M 23.35 17.87 79.90% 63,248 55,475 6.47 24.07 1 
2013/08/23 10:59:43 20.08 2.34 3.94 74.96 615.95M 15.57 6.64% 784.85M 23.35 17.87 79.90% 63,248 55,475 6.51 24.07 1 
2013/08/24 20:05:45 20.08 2.34 4.03 74.93 615.95M 15.57 6.64% 784.85M 23.35 17.87 79.90% 62,739 42,888 6.51 24.07 1 
2013/08/25 23:23:44 20.08 2.34 4.03 74.93 615.95M 15.57 6.64% 796.20M 23.35 17.87 79.90% 62,739 42,888 6.51 24.07 1 
2013/08/27 01:16:55 19.97 2.36 4.03 74.51 612.58M 15.48 6.64% 796.20M 23.35 17.87 79.90% 62,138 36,467 6.56 24.07 1 
2013/08/30 23:23:27 19.53 2.33 4.01 72.87 599.08M 15.14 6.64% 796.20M 23.35 17.87 79.90% 61,683 35,914 6.49 24.07 1 
2013/09/01 19:17:49 19.53 2.33 4.01 72.87 599.08M 15.14 6.64% 779.33M 23.35 17.87 79.90% 60,067 35,929 6.49 24.07 1 
2013/09/02 13:32:12 19.53 2.33 4.01 72.87 599.08M 15.14 6.64% 779.33M 23.35 17.87 79.90% 60,067 35,929 6.49 24.07 1 
2013/09/03 18:16:10 19.29 2.29 4.01 71.98 591.72M 14.95 6.64% 779.33M 23.35 17.87 79.90% 60,067 35,929 6.38 24.07 1 
2013/09/03 19:15:20 19.29 2.29 4.01 71.98 591.72M 14.95 6.64% 779.33M 23.35 17.87 79.90% 60,067 35,929 6.38 24.07 8.30 14.69 30.87% 39.20% 3.71% 3.19 6.00% 61.98M 53.07M 8.18M 0.27 11.20% 0.74 141.82M 29.12 52.03M 39.71M 0.97 16.23% 20.89 21.31 30.68M 24.78M 2.26% 327.29K 5.90 1.40% 348.26K 1 
2013/09/04 03:41:31 19.29 2.27 4.01 71.98 591.72M 14.95 6.64% 779.33M 23.35 17.87 79.90% 58,541 41,783 6.30 24.07 8.30 14.69 30.87% 39.20% 3.71% 3.19 6.00% 61.98M 53.07M 8.18M 0.27 11.20% 0.74 141.82M 29.12 52.03M 39.71M 0.97 16.84% 20.83 21.31 30.68M 24.78M 2.26% 327.29K 5.90 1.40% 348.26K 1 
