
2013/06/11 00:42:24 12.38 2.21 -1.38 7.69 2.33B 8.04 29.92% 2.79B 12.48 9.01 75.50% 1,179,590 994,167 0.44 1.44 10 
2013/06/12 00:53:58 12.11 2.21 -1.38 7.53 2.28B 7.86 29.92% 2.79B 12.48 9.01 75.50% 1,182,050 1,064,140 0.44 1.44 10 
2013/06/13 00:41:53 12.19 2.17 -1.38 7.58 2.29B 7.92 29.92% 2.79B 12.48 9.01 75.50% 1,179,970 1,018,580 0.43 1.44 10 
2013/06/14 08:27:44 12.66 2.26 -1.42 7.87 2.38B 8.22 29.92% 2.76B 12.71 9.01 75.50% 1,209,970 1,231,340 0.45 1.44 10 
2013/06/17 00:26:44 12.88 2.26 -1.44 8.00 2.42B 8.36 29.92% 2.89B 12.89 9.01 75.50% 1,212,750 1,234,260 0.45 1.44 10 
2013/06/18 01:12:24 12.87 2.30 -1.44 8.00 2.42B 8.36 29.92% 2.89B 13.12 9.01 75.50% 1,178,270 1,423,150 0.46 1.44 10 
2013/06/18 23:45:30 13.23 2.30 -1.44 8.22 2.49B 8.59 29.92% 2.89B 13.27 9.01 75.50% 1,175,470 1,386,540 0.46 1.44 10 
2013/06/20 00:43:40 13.06 2.37 -1.44 8.12 2.46B 8.48 29.92% 2.89B 13.27 9.01 75.50% 1,181,170 1,332,740 0.47 1.44 10 
2013/06/21 01:38:33 12.99 2.34 -1.46 8.07 2.44B 8.44 29.92% 2.89B 13.27 9.01 75.50% 1,186,770 1,355,920 0.46 1.44 10 
2013/06/24 00:47:48 13.32 2.32 -1.48 8.28 2.51B 8.65 29.92% 2.97B 13.37 9.01 84.60% 1,202,410 1,391,300 0.46 1.44 10 
2013/06/25 00:46:28 13.18 2.38 -1.48 8.19 2.48B 8.56 29.92% 2.97B 13.37 9.01 84.60% 1,201,820 1,222,030 0.47 1.44 10 
2013/06/26 01:59:07 13.50 2.36 -1.47 8.39 2.54B 8.77 29.92% 2.97B 13.50 9.01 84.60% 1,209,140 1,247,190 0.47 1.44 10 
2013/06/27 01:21:55 13.51 2.41 -1.50 8.40 2.54B 8.77 29.92% 2.97B 13.60 9.01 84.60% 1,207,630 1,200,400 0.48 1.44 10 
2013/07/18 23:45:32 14.66 2.57 -1.61 9.11 2.76B 9.52 29.92% 3.18B 14.62 9.01 84.60% 1,130,980 1,353,790 0.51 1.44 10 
2013/07/21 23:03:19 14.69 2.62 -1.63 9.13 2.76B 9.54 29.92% 3.23B 14.75 9.01 84.60% 1,136,060 1,119,540 0.52 1.44 10 
2013/07/23 17:43:17 14.98 2.67 -1.66 9.31 2.82B 9.73 29.92% 3.23B 15.02 9.01 84.60% 1,143,100 1,057,670 0.53 1.44 10 
2013/07/26 17:51:08 14.95 2.67 -1.66 9.29 2.81B 9.71 29.92% 3.23B 15.10 9.16 84.60% 1,154,020 972,250 0.53 1.44 10 
2013/08/22 21:15:04 15.00 2.20 -1.60 9.62 2.82B 9.62 25.64% 3.15B 15.65 9.94 84.60% 1,154,090 1,133,190 0.53 1.47 11 
2013/08/23 11:00:50 15.07 2.26 -1.65 9.66 2.84B 9.59 25.64% 3.15B 15.65 9.94 84.60% 1,162,200 1,209,040 0.55 1.47 11 
2013/08/24 20:06:49 15.15 2.26 -1.65 9.72 2.85B 9.65 25.64% 3.15B 15.65 9.94 84.60% 1,156,190 1,242,010 0.55 1.47 11 
2013/08/25 23:24:51 15.15 2.26 -1.65 9.72 2.85B 9.65 25.64% 3.24B 15.65 9.94 84.60% 1,156,190 1,242,010 0.55 1.47 11 
2013/08/27 01:18:06 15.32 2.28 -1.65 9.83 2.88B 9.76 25.64% 3.24B 15.65 9.94 84.60% 1,158,900 1,325,770 0.55 1.47 11 
2013/08/30 23:24:38 14.71 2.26 -1.64 9.44 2.77B 9.37 25.64% 3.24B 15.65 9.94 84.60% 1,168,060 1,386,910 0.55 1.47 11 
2013/09/01 19:19:12 14.71 2.26 -1.64 9.44 2.77B 9.37 25.64% 3.21B 15.65 9.96 84.60% 1,224,440 1,683,230 0.55 1.47 11 
2013/09/02 13:33:20 14.71 2.26 -1.64 9.44 2.77B 9.37 25.64% 3.21B 15.65 9.96 84.60% 1,224,440 1,683,230 0.55 1.47 11 
2013/09/03 18:17:38 14.79 2.22 -1.68 9.49 2.79B 9.36 25.64% 3.22B 15.65 9.96 84.60% 1,224,440 1,683,230 0.54 1.47 11 
2013/09/03 19:16:26 14.79 2.22 -1.64 9.49 2.79B 9.42 25.64% 3.21B 15.65 9.96 84.60% 1,224,440 1,683,230 0.54 1.47 0.62 4.72 5.74% 10.82% 6.80% 27.44 -9.30% 1.16B 681.00M 296.00M 1.56 -9.30% 1.38 649.00M 52.00 539.00M 511.88M 1.43 16.23% 14.87 12.50 188.31M 186.99M 0.66% 1.38M 1.30 0.70% 1.63M 11 
2013/09/04 03:42:37 14.79 2.23 -1.64 9.49 2.79B 9.42 25.64% 3.21B 15.65 10.02 84.60% 1,247,920 1,964,850 0.54 1.47 0.62 4.72 5.74% 10.82% 6.80% 27.44 -9.30% 1.16B 681.00M 296.00M 1.56 -9.30% 1.38 649.00M 52.00 539.00M 511.88M 1.43 16.84% 14.88 12.56 188.31M 186.99M 0.66% 1.38M 1.30 0.70% 1.63M 11 
